i1	V(vo)	I(I1)
4.200000000000017e-004	-2.466319e+000	4.200000e-004
4.250000000000017e-004	-2.466134e+000	4.250000e-004
4.300000000000017e-004	-2.465935e+000	4.300000e-004
4.350000000000017e-004	-2.465725e+000	4.350000e-004
4.400000000000018e-004	-2.465505e+000	4.400000e-004
4.450000000000018e-004	-2.465275e+000	4.450000e-004
4.500000000000018e-004	-2.465036e+000	4.500000e-004
4.550000000000018e-004	-2.464790e+000	4.550000e-004
4.600000000000018e-004	-2.464537e+000	4.600000e-004
4.650000000000018e-004	-2.464278e+000	4.650000e-004
4.700000000000018e-004	-2.464014e+000	4.700000e-004
4.750000000000018e-004	-2.463744e+000	4.750000e-004
4.800000000000019e-004	-2.463471e+000	4.800000e-004
4.850000000000019e-004	-2.463193e+000	4.850000e-004
4.900000000000018e-004	-2.462911e+000	4.900000e-004
4.950000000000018e-004	-2.462627e+000	4.950000e-004
5.000000000000000e-004	-2.462339e+000	5.000000e-004
